	Search Engine Domain	Search Keyword	Revenue
20	www.esshopzilla.com	Order Complete	290
14	www.esshopzilla.com	Order Complete	250
17	www.esshopzilla.com	Order Complete	190
11	www.esshopzilla.com	Order Confirmation	0
19	www.esshopzilla.com	Order Confirmation	0
18	www.esshopzilla.com	Order Checkout Details	0
16	www.esshopzilla.com	Shopping Cart	0
15	www.esshopzilla.com	Order Confirmation	0
13	www.esshopzilla.com	Ipod - Touch - 32 GB	0
12	www.esshopzilla.com	Order Checkout Details	0
0	www.google.com	Home	0
1	www.bing.com	Zune - 32 GB	0
9	www.esshopzilla.com	Shopping Cart	0
8	www.esshopzilla.com	Order Checkout Details	0
7	www.esshopzilla.com	Ipod - Nano - 8 GB	0
6	www.esshopzilla.com	Ipod - Nano - 8 GB	0
5	www.esshopzilla.com	Shopping Cart	0
4	www.esshopzilla.com	Search Results	0
3	www.google.com	Hot Buys	0
2	search.yahoo.com	Home	0
10	www.esshopzilla.com	Search Results	0
